,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0,0.14548185,0.11679595,0.9415159138762537,0.9513792807598727
1,1,0.1126476,0.10968241,0.9531833895695333,0.9546249657439253
2,2,0.107363425,0.105517276,0.9556472244139868,0.9565637137999712
3,3,0.10293179,0.10087079,0.9576984244493049,0.9587515212196079
4,4,0.099351086,0.09852584,0.9593303258784186,0.9596457193026005
5,5,0.09662752,0.09679943,0.9605815578999627,0.9609014283013069
6,6,0.094349496,0.09364807,0.9616598435631989,0.9621446426831107
7,7,0.09247791,0.091868155,0.9625771568784859,0.9630729927189703
8,8,0.09082206,0.090651155,0.9633427646886227,0.9636914762556466
9,9,0.08926908,0.08852893,0.9640865069146266,0.964462810605764
10,10,0.0877829,0.08714413,0.9647775634950533,0.9651066998634755
11,11,0.08637118,0.08599365,0.9654333227753799,0.9655864931525334
12,12,0.08513083,0.08489953,0.9659639276170032,0.9659863208934151
13,13,0.084090844,0.08470454,0.9664464281735344,0.9659592492234595
14,14,0.08315621,0.08301287,0.9668685380691273,0.9671304113144586
15,15,0.08229381,0.08215425,0.9672589949286422,0.9672961732320325
16,16,0.08147268,0.08121049,0.9675891652490479,0.9678038711655061
17,17,0.08071249,0.08044734,0.9679362033057848,0.9681170695625302
18,18,0.080021486,0.07979789,0.9682446121638869,0.9683819554408643
19,19,0.0793149,0.08026419,0.9685501056107714,0.9679125743325584
20,20,0.07874134,0.078711264,0.9687931259601334,0.9689583737673019
21,21,0.07816689,0.07836931,0.9690587407464327,0.9691262181210262
22,22,0.077620834,0.077727474,0.9692685462322788,0.9693740280229268
23,23,0.077127665,0.077559106,0.969501466764208,0.9691711987418754
24,24,0.07664126,0.07665491,0.969685762401899,0.9697484500427732
25,25,0.07616543,0.07647874,0.9699361754011345,0.9697730227893483
26,26,0.07567651,0.07611064,0.9701657640345293,0.9702020046363359
27,27,0.07527693,0.07526877,0.9703466236518565,0.9704839664911035
28,28,0.074817486,0.07614714,0.9705451839801486,0.9697230443217381
29,29,0.07433946,0.074717745,0.9707764385628106,0.9707480193949773
30,30,0.07387185,0.07384779,0.971020187764977,0.9711399338784874
31,31,0.07346697,0.073665544,0.9711520060007492,0.9711057819256204
32,32,0.07303994,0.07300671,0.9713140195669906,0.9713498434424502
33,33,0.07263967,0.07273319,0.9714981069610232,0.9714743731242457
34,34,0.07226388,0.07276018,0.9716448146183716,0.9713015309237604
35,35,0.07192635,0.07186065,0.9717791317780448,0.971809228857234
36,36,0.07157747,0.07254191,0.9719409371006277,0.9714014878589807
37,37,0.0712709,0.07184289,0.9720512021177548,0.9717488382088717
38,38,0.07096403,0.071682215,0.972225397938013,0.9716913629711199
39,39,0.070693776,0.07212965,0.9722906823249239,0.9713481774935299
40,40,0.07041302,0.0712968,0.9724191686621615,0.9722407096276021
41,41,0.070126235,0.07006941,0.9725084010697893,0.9725380815098829
42,42,0.069849394,0.06988341,0.9726262669804482,0.9727421602526245
43,43,0.06960513,0.06995208,0.972716540606368,0.972558489384157
44,44,0.06934066,0.07387651,0.9728339900297102,0.9711940772183985
45,45,0.069093205,0.06953284,0.9729538342551239,0.9727217523783503
46,46,0.06882209,0.070140846,0.9730445243683605,0.972299017839814
47,47,0.068561465,0.06886993,0.9731343815069635,0.9730940919620463
48,48,0.06836022,0.071707316,0.9732112234169161,0.9722198852660978
