,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0,0.2865285,0.2446942,0.9049671735109068,0.9049676097881163
1,1,0.22423634,0.20709214,0.90656252817797,0.9099067318496947
2,2,0.19538756,0.18610673,0.9150082662320205,0.9197833100239313
3,3,0.17959093,0.17441894,0.9233298910656599,0.9261422370528697
4,4,0.17019683,0.1668064,0.9284261339960479,0.9301675861316416
5,5,0.16379626,0.16144407,0.9316475592697895,0.932569051500312
6,6,0.15921824,0.15752357,0.9337767465551814,0.9345207106604905
7,7,0.15585823,0.15461628,0.935236534600621,0.9356577207986226
8,8,0.15330221,0.15238994,0.9362806683038783,0.9366064787087564
9,9,0.15135789,0.15070547,0.9370347185909734,0.9374906810982269
10,10,0.14984486,0.14932081,0.9376136359613475,0.9378534414756309
11,11,0.14863618,0.14824806,0.937998261998427,0.9380383618057887
12,12,0.14766699,0.1473802,0.9382804321555697,0.9384007056959627
13,13,0.14689659,0.14667375,0.9385339688096813,0.938603118489784
14,14,0.14626029,0.14609881,0.9387337785999238,0.9388567592129058
15,15,0.14573632,0.14561933,0.9388811109882473,0.9388796660105605
16,16,0.14530264,0.14521241,0.9390164693662125,0.9390358487218423
17,17,0.14493984,0.1448926,0.9390991420986005,0.9391982787415755
18,18,0.14463173,0.1445985,0.9391885827498867,0.9392290987966018
19,19,0.14437234,0.14436066,0.9392446002939984,0.9392857410598934
20,20,0.144161,0.14416085,0.9392942664065287,0.9393544614528574
21,21,0.14395832,0.1439949,0.9393407047423536,0.9394677459794405
22,22,0.14379513,0.1438422,0.9393775638698919,0.9393831990717333
23,23,0.1436603,0.14369945,0.939423065109254,0.9395248047299621
24,24,0.1435399,0.14358392,0.9394487832010674,0.9395077287535287
25,25,0.14342812,0.14348508,0.9394743971710515,0.9395348004234843
26,26,0.14333844,0.14340596,0.9394994905318897,0.9395397982702453
27,27,0.14325655,0.14332485,0.9395258333546783,0.9395452126042363
28,28,0.14320292,0.14325646,0.9395321847862598,0.9395760326592626
29,29,0.14312845,0.14319624,0.9395535297612465,0.9395989394569173
30,30,0.1430754,0.14314297,0.9395725840559909,0.9396068527142889
31,31,0.14302544,0.14311373,0.9395822673861068,0.9396618290286601
32,32,0.14297396,0.1430612,0.9395825797515944,0.9395993559441475
33,33,0.14294297,0.14301987,0.9395884105740299,0.9396280935630232
34,34,0.14290789,0.14298323,0.9396041329702397,0.9396347573587046
35,35,0.1428686,0.1429559,0.9396131915693804,0.9396547487457487
36,36,0.14284827,0.1429293,0.9396136080566972,0.9396547487457487
37,37,0.14282289,0.1429223,0.9395946578837822,0.9396634949775805
38,38,0.14279872,0.14288369,0.939622146046692,0.9396622455158903
39,39,0.14278585,0.14286049,0.9396204800974247,0.9396626620031203
40,40,0.1427493,0.14284381,0.9396180852953531,0.9396618290286601
41,41,0.14273977,0.14283155,0.939622666655838,0.9396639114648105
42,42,0.14273176,0.14281599,0.9396212089502292,0.9396739071583327
43,43,0.14271206,0.14279717,0.9396294345747362,0.939655998207439
44,44,0.14270104,0.14279236,0.9396191265136451,0.9396668268754211
45,45,0.14267686,0.14278243,0.9396325582296123,0.9396618290286601
46,46,0.14268318,0.1427633,0.9396259985543726,0.9396701587732619
47,47,0.14266437,0.14275536,0.9396358901281469,0.9396597465925097
48,48,0.14266145,0.14277089,0.9396329747169292,0.9396809874412441
49,49,0.14266008,0.14273974,0.9396485929913098,0.9396489179245275
50,50,0.1426426,0.14273153,0.9396318293768079,0.9396884842113856
51,51,0.14264044,0.14273833,0.9396420333160699,0.9396676598498813
52,52,0.14264011,0.14272287,0.9396371395900973,0.9396518333351381
53,53,0.14262863,0.14271535,0.9396355777626593,0.9396626620031203
54,54,0.14263165,0.14272079,0.9396413044632655,0.9396260111268728
55,55,0.14260998,0.14270529,0.9396455734582628,0.9396601630797398
56,56,0.1426109,0.14270847,0.9396365148591221,0.9396701587732619
57,57,0.1426152,0.14270434,0.9396480723821637,0.9396684928243415
58,58,0.14260697,0.1427146,0.9396364107372929,0.9396668268754211
59,59,0.14259453,0.1426909,0.9396368272246097,0.9396539157712885
60,60,0.14259891,0.1426904,0.9396415127069239,0.9396489179245275
61,61,0.14259349,0.14268622,0.9396509877933815,0.9396534992840585
62,62,0.14261489,0.14268306,0.9396314128894911,0.9396505838734479
63,63,0.14258325,0.14269413,0.9396378684429018,0.9396680763371115
64,64,0.14258803,0.14267908,0.9396484888694806,0.9396526663095983
65,65,0.14258459,0.14267637,0.9396362024936346,0.9396634949775805
66,66,0.14258133,0.1426722,0.9396364107372929,0.9396410046671559
67,67,0.14259939,0.14267519,0.9396340159352212,0.9396755731072529
68,68,0.14258479,0.14267209,0.9396375560774142,0.9396693257988017
69,69,0.14257452,0.14267726,0.9396353695190008,0.9396680763371115
70,70,0.14257593,0.14267415,0.939633391204246,0.9396643279520407
71,71,0.14258215,0.14266625,0.9396348489098548,0.939646002513917
72,72,0.14258319,0.14266525,0.9396398467576567,0.9396439200777665
73,73,0.1425944,0.14266448,0.9396357860063177,0.9396518333351381
74,74,0.14257291,0.14266452,0.9396265191635186,0.939636423307625
75,75,0.14257416,0.14266394,0.9396364107372929,0.9396576641563593
76,76,0.1425864,0.14266597,0.9396340159352212,0.9396468354883771
77,77,0.14257827,0.14266144,0.9396381808083893,0.9396551652329788
78,78,0.14256951,0.14266668,0.9396345365443672,0.9396614125414301
79,79,0.14257383,0.1426712,0.9396212089502292,0.9396626620031203
80,80,0.14257291,0.14265928,0.9396236037523008,0.9396410046671559
81,81,0.14257526,0.14266717,0.9396342241788797,0.9396751566200229
82,82,0.1425805,0.14266585,0.9396304757930283,0.9396714082349521
83,83,0.14259699,0.14265986,0.9396217295593752,0.9396451695394568
84,84,0.142581,0.1426631,0.9396296428183947,0.9396664103881911
85,85,0.14257745,0.14265777,0.9396367231027806,0.9396518333351381
86,86,0.1425865,0.14266273,0.9396415127069239,0.9396193473311915
87,87,0.14259106,0.14265671,0.9396271438944938,0.9396355903331648
88,88,0.14259851,0.14265569,0.9396356818844885,0.9396455860266868
89,89,0.1425633,0.14266062,0.9396212089502292,0.939646002513917
90,90,0.14257509,0.14265749,0.9396292263310778,0.939641837641616
91,91,0.14258742,0.14265591,0.9396320376204663,0.9396339243842444
92,92,0.14258067,0.14265585,0.939632349985954,0.9396343408714746
93,93,0.14256503,0.14265545,0.9396284974782734,0.9396397552054656
94,94,0.14256258,0.1426567,0.9396292263310778,0.9396430871033064
95,95,0.14256926,0.14265525,0.9396304757930283,0.9396355903331648
96,96,0.14256234,0.1426665,0.939627768625469,0.9396301759991736
97,97,0.14257531,0.14265464,0.9396281851127858,0.939641837641616
98,98,0.14256635,0.14265543,0.9396240202396177,0.9396310089736338
99,99,0.14256822,0.14266653,0.9396267274071769,0.939636839794855
