,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0,0.23853913,0.20417999,0.9006422650912618,0.914296090767561
1,1,0.19690788,0.19103052,0.9179421070135007,0.9203118323189092
2,2,0.18561013,0.18099703,0.9227269215527397,0.9244762881325296
3,3,0.17656918,0.17284502,0.9269237601224639,0.92849414044116
4,4,0.16929635,0.1663559,0.9303116762011026,0.9315324147846303
5,5,0.16351028,0.16117297,0.9328039363049286,0.9335715362631266
6,6,0.15892693,0.15715155,0.9345814000512696,0.9357185279342151
7,7,0.15530291,0.15390082,0.9359387322167725,0.9367547481626666
8,8,0.15246305,0.15135519,0.9369415295538359,0.9376156272672523
9,9,0.15018529,0.14938526,0.9377504520449215,0.9378438622693389
10,10,0.14839064,0.14771417,0.9383501937811364,0.9385577213817047
11,11,0.14694542,0.14644155,0.9388270717588905,0.9392132722818586
12,12,0.145812,0.14539269,0.9391815024655008,0.9393944442269455
13,13,0.14487302,0.14456992,0.9394669003993489,0.9397209702153322
14,14,0.14413308,0.14388116,0.9396620247072771,0.9398067665847297
15,15,0.14352213,0.143319,0.9398309103142459,0.9399771098618346
16,16,0.14301457,0.14286242,0.9399487762249048,0.9401324595986562
17,17,0.14262289,0.14249931,0.9400499826428911,0.9401224639051342
18,18,0.14227435,0.14217816,0.9401545209594119,0.9402744817441152
19,19,0.14198649,0.14191642,0.9402087684324271,0.9403827684239373
20,20,0.14175238,0.14170092,0.9402693673370238,0.9404235841724857
21,21,0.14156502,0.14151694,0.9403042481498072,0.9404668988444145
22,22,0.14139812,0.14136378,0.9403493329018525,0.9404623174848836
23,23,0.1412478,0.14123636,0.9403670336128171,0.940488972667609
24,24,0.1411383,0.14114568,0.9404135760704713,0.9404731461528658
25,25,0.14103086,0.14104055,0.940431276781436,0.9405164608247947
26,26,0.14095205,0.14096414,0.9404241964970501,0.9405218751587857
27,27,0.14089715,0.14088956,0.9404304438068024,0.9405314543650777
28,28,0.14082536,0.14082865,0.9404521011472768,0.9405218751587857
29,29,0.14078572,0.14078444,0.9404569948732494,0.9405252070566265
30,30,0.14073117,0.14075093,0.9404412724770396,0.9405289554416972
31,31,0.14069225,0.14070591,0.9404659493505609,0.9405501962904316
32,32,0.14067523,0.14066637,0.9404662617160485,0.9405347862629184
33,33,0.14062735,0.1406471,0.9404579319697122,0.9405164608247947
34,34,0.14060661,0.14064237,0.9404676152998281,0.9405443654692104
35,35,0.14059772,0.1406216,0.9404598061626379,0.9405456149309006
36,36,0.14056823,0.14058763,0.9404807346503079,0.9405535281882722
37,37,0.14055425,0.14059025,0.9404601185281255,0.9405643568562544
38,38,0.14054622,0.1405616,0.9404810470157955,0.9405414500585998
39,39,0.14053679,0.14054675,0.940471571929338,0.9405647733434845
