,epoch,loss_train,loss_test,accuracy_train,accuracy_test
0,0,0.25590914,0.19444048,0.9073881101617283,0.9194884370650311
1,1,0.17425635,0.16388167,0.9284735094283357,0.9326136156339311
2,2,0.16211985,0.16186878,0.9333000768210856,0.9331658777010238
3,3,0.16161472,0.161817,0.9333646323551921,0.93314713577567
4,4,0.1616001,0.1618396,0.9333391225070371,0.933162129315953
5,5,0.16161539,0.16183443,0.9333532830758088,0.9330917429740687
6,6,0.16158728,0.1618725,0.933337040070453,0.9330992397442102
7,7,0.16161433,0.1618567,0.9333423502837424,0.9330584239956619
8,8,0.1615905,0.16181542,0.9333231918671688,0.9331304762864666
9,9,0.16160153,0.1618293,0.9333337081719185,0.9330871616145378
10,10,0.16159075,0.16190718,0.9333380812887451,0.9331704590605547
11,11,0.1616036,0.16184667,0.9333463069132522,0.933083829716697
12,12,0.16159669,0.16182403,0.9333295432987503,0.9331783723179263
13,13,0.16159272,0.16182467,0.9333417255527672,0.9331492182118204
14,14,0.16160394,0.16181627,0.9333407884563043,0.9331671271627141
15,15,0.1615971,0.16182975,0.9333432873802052,0.9331750404200857
16,16,0.16159153,0.16181967,0.9333369359486238,0.9330767494337856
17,17,0.16160539,0.1618231,0.9333342287810645,0.933083413229467
18,18,0.16159746,0.16182052,0.9333293350550919,0.9331354741332276
19,19,0.16160357,0.16182046,0.9333623416749496,0.9331642117521035
20,20,0.16161048,0.16183001,0.9333404760908167,0.9331879515242183
21,21,0.16159712,0.16182262,0.9333440162330097,0.9331042375909713
22,22,0.16159095,0.16183053,0.9333479728625194,0.9331413049544488
23,23,0.1616009,0.16182397,0.9333306886388716,0.933073417535945
24,24,0.16158858,0.16183008,0.9333512006392247,0.9331084024632721
25,25,0.16159494,0.16181432,0.9333422461619132,0.9331396390055284
26,26,0.16159187,0.1618247,0.9333226712580228,0.9331533830841212
27,27,0.16160202,0.16181768,0.933352345979346,0.9331367235949178
28,28,0.16159178,0.16181675,0.9333442244766681,0.9331038211037411
29,29,0.16159898,0.16182671,0.9333368318267946,0.9331633787776433
30,30,0.1616148,0.1618415,0.933352345979346,0.9330675867147238
31,31,0.16158766,0.16183425,0.9333480769843486,0.9330992397442102
32,32,0.16158356,0.16198634,0.9333487017153238,0.9329880376537775
33,33,0.16159572,0.16189697,0.9333419337964256,0.9331646282393335
34,34,0.16160676,0.16183765,0.9333464110350813,0.933078831869936
35,35,0.16159263,0.16188619,0.9333516171265416,0.9331871185497581
36,36,0.1616036,0.16181824,0.9333296474205796,0.933093408922989
37,37,0.16159576,0.16184567,0.933352866588492,0.9330696691508742
38,38,0.16160229,0.16188796,0.9333412049436212,0.9331708755477849
39,39,0.16159058,0.16182888,0.9333536995631256,0.9331067365143517
40,40,0.1616153,0.16189216,0.9333279814713122,0.9330559250722814
41,41,0.16159646,0.16182104,0.933346202791423,0.9330900770251483
42,42,0.16160746,0.16181986,0.9333430791365468,0.9331213135674047
43,43,0.1615918,0.1618164,0.9333341246592353,0.933137556569378
44,44,0.16158678,0.16184515,0.9333289185677751,0.9331742074456255
45,45,0.16159523,0.16183957,0.933346723400569,0.9331867020625281
46,46,0.16160533,0.16181327,0.9333290226896043,0.9331404719799886
47,47,0.161626,0.16182578,0.9333398513598415,0.9331150662589535
48,48,0.16158941,0.16187696,0.9333311051261883,0.9332050275006518
49,49,0.1615934,0.16181599,0.9333607798475115,0.9331258949269357
50,50,0.16160448,0.16181491,0.9333417255527672,0.9331088189505021
51,51,0.16159384,0.16185778,0.9333191311158299,0.9330904935123784
52,52,0.16161855,0.16181049,0.9333390183852078,0.9331200641057145
53,53,0.1615992,0.16181831,0.9333510965173956,0.9331433873905992
54,54,0.16159488,0.16186702,0.9333394348725247,0.9331750404200857
55,55,0.16159987,0.16187249,0.9333414131872796,0.9331583809308823
56,56,0.1616035,0.16181196,0.933337560679599,0.9331363071076878
57,57,0.16159607,0.16182849,0.9333515130047123,0.9331017386675907
58,58,0.16160066,0.16183038,0.9333417255527672,0.9331558820075018
59,59,0.16159436,0.16188769,0.9333204846996096,0.9332025285772713
60,60,0.16159372,0.16184527,0.9333306886388716,0.9330988232569801
61,61,0.16159165,0.1618174,0.9333374565577698,0.9331475522629
62,62,0.1616056,0.16181713,0.9333536995631256,0.9331966977560501
63,63,0.1615915,0.16182439,0.9333503676645911,0.9331500511862806
64,64,0.16159864,0.16183825,0.9333522418575168,0.933205860475112
65,65,0.16159604,0.16184635,0.9333604674820238,0.9330750834848652
66,66,0.1615894,0.1618331,0.933335998852161,0.9331687931116344
67,67,0.16160886,0.16181794,0.9333341246592353,0.9331550490330416
68,68,0.16158867,0.16186723,0.9333393307506955,0.9331346411587674
69,69,0.16158827,0.16184431,0.9333404760908167,0.9331837866519175
70,70,0.16159365,0.16181996,0.9333434956238637,0.9331608798542628
71,71,0.16160727,0.16186266,0.9333278773494831,0.9330346842235471
72,72,0.16159981,0.16181402,0.933337040070453,0.9331508841607408
73,73,0.16159178,0.16181773,0.9333312092480176,0.933137556569378
74,74,0.1616004,0.16182025,0.9333380812887451,0.9331808712413069
75,75,0.16160822,0.16183898,0.9333301680297256,0.9330946583846793
76,76,0.16162495,0.16183577,0.9333474522533733,0.9331254784397056
77,77,0.16159377,0.16183604,0.9333412049436212,0.9331100684121925
78,78,0.16160406,0.16183409,0.9333367277049653,0.9331408884672187
79,79,0.16159703,0.16181657,0.9333526583448336,0.933162129315953
80,80,0.16159496,0.16181572,0.9333386018978911,0.9331479687501302
81,81,0.1615857,0.16184206,0.9333324587099681,0.9332196045537048
82,82,0.16161107,0.1618134,0.9333350617556981,0.9330988232569801
83,83,0.16158748,0.16181934,0.9333369359486238,0.9331737909583955
84,84,0.16160326,0.16181584,0.9333496388117867,0.9330754999720954
85,85,0.16160056,0.16181518,0.9333422461619132,0.9331059035398915
86,86,0.16160347,0.1618149,0.9333440162330097,0.9330988232569801
87,87,0.16160373,0.16184722,0.9333377689232574,0.9331750404200857
88,88,0.16163242,0.16181388,0.9333282938367998,0.9331267279013958
89,89,0.16160084,0.16184929,0.9333337081719185,0.9331958647815899
90,90,0.16158961,0.16181843,0.9333380812887451,0.933127560875856
91,91,0.16158774,0.16181697,0.9333476604970318,0.9331413049544488
92,92,0.16159247,0.16181308,0.933336519461307,0.9331283938503162
93,93,0.16160333,0.16182397,0.9333384977760618,0.9330813307933166
94,94,0.16161034,0.16181771,0.9333358947303317,0.9331558820075018
95,95,0.16158566,0.1618171,0.9333376648014282,0.9331142332844933
96,96,0.16160543,0.16186501,0.9333433915020345,0.9332096088601828
97,97,0.16159281,0.16184771,0.9333381854105742,0.9332116912963332
98,98,0.16159703,0.1618253,0.9333442244766681,0.9331662941882539
99,99,0.16159554,0.16184631,0.9333387060197202,0.9330384326086177
